Website,Order ID,Order Date,Purchase Order Number,Currency,Unit Price,Unit Price Tax,Shipping Charge,Total Discounts,Total Owed,Shipment Item Subtotal,Shipment Item Subtotal Tax,ASIN,Product Condition,Quantity,Payment Instrument Type,Order Status,Shipment Status,Ship Date,Shipping Option,Shipping Address,Billing Address,Carrier Name & Tracking Number,Product Name,Gift Message,Gift Sender Name,Gift Recipient Contact Details,Item Serial Number
Amazon.ca,,2022-03-18T23:25:25Z,Not Applicable,CAD,22.99,1.15,0,0,24.14,59.98,5.96,316389706,New,1,,Closed,Shipped,2022-03-19T20:01:20Z,econ-ca,,,,Sword of Destiny,Not Available,Not Available,Not Available,Not Available
Amazon.ca,,2022-03-18T23:25:25Z,Not Applicable,CAD,36.99,4.81,0,0,41.8,59.98,5.96,B097SLBDRM,New,1,,Closed,Shipped,2022-03-19T20:01:20Z,econ-ca,,,,"DA29-00020B Refrigerator Water Filter by PERCOLA Compatible with Samsung HAF-CIN/EXP, DA29-00020B-1, RF28HMEDBSR, RF28K9380SR, RF263BEAESR, RF28JBEDBSG, RF4287HARS, RF263BEAESG, DA97-08006A, Kenmore 469101(3 Pack)",Not Available,Not Available,Not Available,Not Available
Amazon.ca,,2022-03-04T12:53:53Z,Not Applicable,CAD,36.99,4.81,0,0,41.8,74.98,9.75,B07MKC25V5,New,1,,Closed,Shipped,2022-03-05T09:24:00Z,econ-ca,,,,PAUL JONES Mens Knitted Pullover Sweater Vests V-Neck Cable Patterned M Grey,Ship in Amazon packaging selected,Not Available,Not Available,Not Available
Amazon.ca,,2022-03-04T12:53:53Z,Not Applicable,CAD,37.99,4.94,0,0,42.93,74.98,9.75,B074FYXP6D,New,1,,Closed,Shipped,2022-03-05T09:24:00Z,econ-ca,,,,"KALLSPIN Men's Sweater Vest Cashmere Wool Blend V Neck Sweater Knitted Sleeveless Pullover (Black, M)",Not Available,Not Available,Not Available,Authenticity_2D=AZ:FCF7DGOM3NA4FBIE9TA4Y8G6BE
Amazon.ca,,2021-11-16T16:35:36Z,Not Applicable,CAD,629.99,81.9,9.02,0,720.91,629.99,81.9,B09DPJ2TGW,New,1,,Closed,Shipped,2021-11-17T19:52:48Z,second-ca,,,,PlayStation 5 Disc Edition,Not Available,Not Available,Not Available,Not Available
Amazon.ca,,2020-12-18T19:03:59Z,Not Applicable,CAD,19.99,2.6,0,0,22.59,19.99,2.6,B07N8C189X,New,1,,Closed,Shipped,2020-12-19T21:52:34Z,second-ca,,,,Nier Automata Game of The Yorha Edition - PlayStation 4,Not Available,Not Available,Not Available,Not Available
Amazon.ca,,2020-02-28T23:38:49Z,Not Applicable,CAD,7.9,0,5.99,0,13.89,7.9,0,316029181,New,1,,Closed,Shipped,2020-03-04T11:10:15Z,Std CA D2D Dom,,,,The Last Wish,Not Available,Not Available,Not Available,Not Available
Amazon.ca,,2019-08-13T00:59:19Z,Not Applicable,CAD,13.64,0,0,0,13.64,13.64,0,B07NNJCC8V,New,1,,Closed,Shipped,2019-08-14T04:36:04Z,Std CA D2D Dom,,,,FidgetGear Wall Mount Set Top Box Stand Bracket DVD Foldable 90° Router Holder for TV Box,Not Available,Not Available,Not Available,Not Available
Amazon.ca,,2019-06-22T00:47:54Z,Not Applicable,CAD,10,0,4.05,0,14.05,10,0,B07LGNLMNH,New,1,,Closed,Shipped,2019-06-22T19:35:45Z,standard-ca,,,,"iGK Replacement Compatible for Fitbit Alta Band and Fitbit Alta HR Bands, Newest Adjustable Sport Strap Smartwatch Fitness Wristbands Black Large",Not Available,Not Available,Not Available,Not Available
Amazon.ca,,2018-12-29T22:43:00Z,Not Applicable,CAD,7.99,0,0,0,7.99,7.99,0,B01I1C2R68,New,1,,Closed,Shipped,2018-12-30T19:21:06Z,Std CA D2D Dom,,,,Fusion Beyblade Master Metal BB116A JADE JUPITER S130RB w/ Launcher,Not Available,Not Available,Not Available,Not Available
Amazon.ca,,2018-12-26T16:22:16Z,Not Applicable,CAD,16.99,2.21,4.55,0,23.75,16.99,2.21,B073JYVKNX,New,1,,Closed,Shipped,2018-12-31T04:54:39Z,standard-ca,,,,SanDisk Ultra 64GB microSDXC UHS-I Card with Adapter(SDSQUAR-064G-GN6MA),Not Available,Not Available,Not Available,Not Available
Amazon.ca,,2018-10-22T22:44:11Z,Not Applicable,CAD,12.99,0,0,0,12.99,12.99,0,B07G71H75G,New,1,,Closed,Shipped,2018-10-24T01:36:28Z,second-ca,,,,Edealing 1PCS Cosplay Tokyo Ghoul Kaneki Ken Adjustable Zipper PU Leather Mask Halloween Prop,Not Available,Not Available,Not Available,Not Available
